id,x,y,plot,species,height_cm,elevation,slope,twi,distance_m,mpb_class,fire_class
111,524228.31,5446891.95,3,Pinus_contorta,8,1272,23.7,7.36,50.8,0,2
112,524231.96,5446891.15,3,Pinus_contorta,15,1272,23.7,7.36,52.1,0,2
113,524236.41,5446892.27,3,Pinus_contorta,17,1272,23.7,7.36,55.2,0,2
114,524225.98,5446887.9,3,Pinus_contorta,6,1272,23.7,7.36,48.3,0,2
115,524225.98,5446887.9,3,Pinus_contorta,11,1272,23.7,7.36,48.3,0,2
116,524223.68,5446887.9,3,Pinus_contorta,10,1284,24.2,6.29,47.1,0,2
117,524188.57,5446979.18,3,Pinus_contorta,14,1265,22.9,1.59,51.3,0,3
118,524235.88,5446887.5,3,Pinus_contorta,13,1272,23.7,7.36,19.1,0,2
119,524230.0,5446886.87,3,Pinus_contorta,15,1272,23.7,7.36,49.6,0,2
120,524239.53,5446886.71,3,Pinus_contorta,10,1272,23.7,7.36,19.6,0,2
121,524235.72,5446890.52,3,Pinus_contorta,9,1272,23.7,7.36,54.0,0,2
122,524241.12,5446887.98,3,Pinus_contorta,10,1272,23.7,7.36,20.0,0,2
123,524207.72,5446884.43,3,Pinus_contorta,8,1291,26.1,6.78,37.7,0,2
124,524209.39,5446885.07,3,Pinus_contorta,6,1291,26.1,6.78,38.9,0,2
125,524168.87,5446938.37,3,Pinus_contorta,11,1290,22.7,5.53,92.0,0,3
126,524213.65,5446884.54,3,Pinus_contorta,12,1291,26.1,6.78,40.8,0,2
127,524167.3,5446932.06,3,Pinus_contorta,10,1290,22.7,5.53,47.1,0,2
128,524206.11,5446884.8,3,Pinus_contorta,18,1291,26.1,6.78,37.0,0,2
129,524278.66,5446950.76,3,Pinus_contorta,32,1230,26.1,6.38,153.4,0,4
130,524202.8,5446885.39,3,Pinus_contorta,16,1303,24.6,6.72,36.4,0,2
131,524202.8,5446885.39,3,Pinus_contorta,7,1303,24.6,6.72,36.4,0,2
132,524204.55,5446887.29,3,Pinus_contorta,6,1284,24.2,6.29,37.7,0,2
