"qx","qy","x","y","stems","ba_ha","h_mean","h_max","h_p95","h_sd","cover"
240,180,747821.193254891,4309029.29574993,12,40.5962296833558,22.9261403508772,38.54,37.472,13.9518090590594,0.786967418546366
260,180,747841.216189514,4309029.92341154,14,58.0833750458031,22.1173134328358,38.69,37.429,14.4386775095818,0.763681592039801
280,180,747861.239124136,4309030.55107315,5,20.6254393437508,18.197343358396,35.91,34.541,15.1204032995022,0.606516290726817
300,180,747881.262058758,4309031.17873477,15,56.8185305735596,23.75145,35.66,34.97,11.6944818037888,0.8725
320,180,747901.284993381,4309031.80639638,17,45.7462228854314,16.2440897755611,37.7,35.58,14.5020575689079,0.650872817955112
340,180,747921.307928003,4309032.43405799,13,22.3911322247928,19.0016040100251,38.5,36.924,14.9566401762022,0.654135338345865
360,180,747941.330862626,4309033.0617196,12,55.4249593423354,24.0178304239402,34.3,33.61,11.8428514949387,0.830423940149626
380,180,747961.353797248,4309033.68938122,7,29.0138647929632,19.3482,35.98,34.008,13.5381422284409,0.7125
0,200,747580.293093996,4309041.70585879,15,56.8770427367328,25.626175,37.96,36.254,11.6555708762163,0.855
20,200,747600.316028618,4309042.33352041,14,36.3292400014338,24.998671679198,33.33,32.751,10.6881391308486,0.859649122807018
40,200,747620.338963241,4309042.96118202,12,28.6745727863755,22.4998756218905,32.66,31.408,9.79144561422938,0.865671641791045
60,200,747640.361897863,4309043.58884363,6,13.1404181319864,15.4078446115288,31.13,29.114,11.3380345077269,0.711779448621554
80,200,747660.384832485,4309044.21650524,8,30.5984448575257,14.5206015037594,27.46,25.764,9.12164583575036,0.789473684210526
100,200,747680.407767108,4309044.84416686,15,38.0869807260713,20.9578855721393,29.07,28.3295,8.22468632192776,0.895522388059702
120,200,747700.43070173,4309045.47182847,11,38.5043216751467,17.7841102756892,29.8,28.846,10.0952250590482,0.804511278195489
140,200,747720.453636353,4309046.09949008,16,42.7199070472743,20.5098753117207,37.21,34.83,12.9610784363962,0.750623441396509
